Day	peri_infected_0_0	plac_infected_0_0	peri_infected_1_2	plac_infected_1_2	peri_infected_3_max	plac_infected_3_max	peri_infected_all	plac_infected_all	
87	0.568894	0	0.510615	0	0.443652	0	0.490485	0	
88	0.568276	0	0.510779	0	0.444067	0	0.490619	0	
89	0.567554	0	0.510943	0	0.443403	0	0.490236	0	
90	0.568069	0	0.510833	0	0.443527	0	0.490351	0	
91	0.571473	0.556724	0.513289	0.444632	0.445435	0.326393	0.492729	0.410797	
92	0.57271	0.55889	0.51449	0.446161	0.446306	0.325978	0.493785	0.411545	
93	0.573742	0.560334	0.516346	0.446706	0.447426	0.324734	0.495147	0.41143	
94	0.575804	0.562397	0.517	0.446979	0.447965	0.323904	0.49601	0.411525	
95	0.577351	0.563016	0.517928	0.447198	0.449127	0.322286	0.497161	0.410969	
96	0.578383	0.563531	0.519129	0.446433	0.449873	0.319798	0.49812	0.409645	
97	0.580446	0.565182	0.520985	0.445724	0.450537	0.318221	0.499463	0.408974	
98	0.582921	0.566316	0.522567	0.444905	0.451325	0.31623	0.500844	0.407977	
99	0.583952	0.566832	0.523277	0.444032	0.452404	0.313659	0.501784	0.406576	
100	0.585809	0.566935	0.524205	0.443268	0.453026	0.311543	0.502743	0.405348	
101	0.586943	0.568379	0.524914	0.440812	0.454187	0.308474	0.503741	0.403334	
102	0.5888	0.568998	0.525896	0.439721	0.455017	0.30669	0.504815	0.402241	
103	0.590862	0.568998	0.527206	0.438684	0.455639	0.30416	0.505947	0.400706	
104	0.592203	0.569513	0.52797	0.438247	0.456178	0.301547	0.506714	0.39944	
105	0.593234	0.570751	0.528844	0.436119	0.457091	0.299017	0.507635	0.397752	
106	0.594369	0.570132	0.529608	0.434481	0.45792	0.296611	0.508498	0.395948	
107	0.595194	0.569823	0.530317	0.432407	0.459206	0.293293	0.509496	0.393627	
108	0.596947	0.569101	0.531027	0.429679	0.459787	0.290348	0.51034	0.391172	
109	0.598185	0.568998	0.532773	0.428096	0.460077	0.287362	0.511318	0.389215	
110	0.599319	0.570132	0.533155	0.426295	0.460699	0.284292	0.511951	0.387373	
111	0.601176	0.570751	0.533865	0.424276	0.46157	0.281803	0.512949	0.385628	
112	0.60262	0.570132	0.535011	0.422966	0.462193	0.278693	0.513908	0.383613	
113	0.604167	0.570029	0.535556	0.42111	0.463022	0.277075	0.514771	0.382194	
114	0.605507	0.570235	0.536757	0.4192	0.46352	0.275457	0.515673	0.380813	
115	0.607261	0.570751	0.537739	0.416362	0.463935	0.2733	0.516536	0.378913	
116	0.609014	0.570957	0.538722	0.415216	0.464432	0.270355	0.517438	0.377187	
117	0.610767	0.570854	0.539923	0.412378	0.464018	0.267825	0.517994	0.375	
118	0.611902	0.569616	0.540741	0.410741	0.464391	0.265461	0.518666	0.373101	
119	0.612933	0.568585	0.541341	0.40894	0.464266	0.262641	0.519011	0.370971	
120	0.613758	0.568276	0.541942	0.406429	0.464391	0.260608	0.519433	0.369091	
121	0.614893	0.568172	0.542378	0.404137	0.465179	0.258202	0.520162	0.367154	
122	0.615718	0.568791	0.543252	0.402718	0.465303	0.255216	0.52068	0.365389	
123	0.616955	0.568069	0.544016	0.400371	0.465594	0.252354	0.521313	0.363106	
124	0.618296	0.568069	0.544889	0.39857	0.465594	0.250695	0.521869	0.361706	
125	0.619637	0.567347	0.545598	0.396878	0.465428	0.247999	0.522291	0.35973	
126	0.62005	0.56611	0.546035	0.39404	0.466092	0.245759	0.522828	0.357466	
127	0.620978	0.565697	0.546417	0.391748	0.466755	0.243519	0.523442	0.355548	
128	0.622215	0.565182	0.54669	0.389783	0.466631	0.24103	0.523711	0.35361	
129	0.623144	0.56446	0.547072	0.387273	0.466216	0.238293	0.523826	0.351328	
130	0.624484	0.564769	0.548109	0.384817	0.466299	0.236634	0.524478	0.349754	
131	0.625103	0.56446	0.548382	0.382961	0.467087	0.235223	0.525054	0.348392	
132	0.625825	0.562913	0.548873	0.381269	0.466755	0.233025	0.525207	0.346493	
133	0.627578	0.561984	0.548873	0.37996	0.46746	0.231947	0.525859	0.345361	
134	0.628816	0.562087	0.548982	0.377176	0.467294	0.229873	0.526051	0.343443	
135	0.62995	0.561675	0.549037	0.375539	0.467502	0.228006	0.526377	0.341928	
136	0.631188	0.561056	0.5492	0.373356	0.467419	0.226637	0.526627	0.340412	
137	0.632013	0.560953	0.54931	0.3715	0.467502	0.22448	0.526857	0.338743	
138	0.632529	0.559715	0.549255	0.369863	0.468124	0.22249	0.527221	0.337017	
139	0.633045	0.5592	0.549965	0.368717	0.468248	0.220872	0.527624	0.33577	
140	0.633663	0.558787	0.549855	0.36637	0.468331	0.218964	0.527739	0.333986	
141	0.634798	0.557137	0.549146	0.363969	0.468207	0.216766	0.527643	0.331818	
142	0.635107	0.555693	0.549473	0.362441	0.468082	0.215812	0.527759	0.330571	
143	0.63552	0.554971	0.550456	0.36053	0.467875	0.214069	0.528085	0.328959	
144	0.636242	0.554146	0.550729	0.359002	0.467336	0.21324	0.528066	0.327885	
145	0.636654	0.552702	0.55122	0.357147	0.467377	0.21241	0.528334	0.326581	
146	0.638511	0.55229	0.551165	0.354363	0.467502	0.211042	0.528718	0.324893	
147	0.638923	0.550021	0.551165	0.352399	0.467502	0.209134	0.528795	0.322897	
148	0.639955	0.549092	0.551984	0.350379	0.46746	0.20706	0.529255	0.321056	
149	0.640883	0.547236	0.551875	0.349015	0.467502	0.205193	0.529408	0.319368	
150	0.641295	0.546927	0.551875	0.347596	0.467543	0.203119	0.529504	0.317852	
151	0.642533	0.546823	0.551656	0.345686	0.466755	0.201377	0.529293	0.316356	
152	0.643461	0.545689	0.551656	0.34383	0.466133	0.20005	0.529178	0.314879	
153	0.64408	0.547133	0.55182	0.342302	0.465967	0.198474	0.529274	0.313881	
154	0.644493	0.54538	0.55182	0.340883	0.465926	0.196566	0.529332	0.312174	
155	0.644596	0.545483	0.550947	0.339573	0.465884	0.195197	0.529025	0.3111	
156	0.645524	0.545586	0.550783	0.337663	0.465635	0.193579	0.529025	0.309699	
157	0.645936	0.545586	0.550565	0.335207	0.465303	0.192127	0.528871	0.308165	
158	0.118606	0.101382	0.0980189	0.0598155	0.0832884	0.0326849	0.0950353	0.0549992	
159	0.119224	0.101279	0.0982372	0.0592698	0.0840765	0.0328923	0.0955916	0.0548841	
160	0.119534	0.100454	0.0987284	0.0591606	0.0847816	0.0328508	0.0961479	0.0546731	
161	0.120153	0.100144	0.099165	0.059106	0.085072	0.032519	0.0965508	0.0544429	
