Day	peri_infected_0_0	plac_infected_0_0	peri_infected_1_2	plac_infected_1_2	peri_infected_3_max	plac_infected_3_max	peri_infected_all	plac_infected_all	
87	0.570488	0	0.512155	0	0.440331	0	0.489738	0	
88	0.570591	0	0.511773	0	0.440248	0	0.489585	0	
89	0.57018	0	0.511609	0	0.439876	0	0.489278	0	
90	0.569563	0	0.511554	0	0.439545	0	0.488991	0	
91	0.572853	0.558972	0.514723	0.443868	0.441157	0.326157	0.491461	0.41076	
92	0.574704	0.560206	0.516362	0.444414	0.442562	0.326074	0.493031	0.411143	
93	0.577378	0.562879	0.517782	0.444633	0.443595	0.325041	0.494505	0.411239	
94	0.578406	0.563599	0.518765	0.444797	0.444669	0.32405	0.495539	0.410971	
95	0.580257	0.564524	0.519803	0.444032	0.445455	0.322231	0.496611	0.410033	
96	0.582005	0.564833	0.521114	0.444086	0.446116	0.320331	0.497702	0.409228	
97	0.583548	0.56545	0.522589	0.44354	0.447066	0.317273	0.498947	0.407735	
98	0.585501	0.566375	0.523955	0.442666	0.447686	0.314752	0.500077	0.406433	
99	0.587147	0.566992	0.524993	0.441792	0.44843	0.312893	0.501091	0.40538	
100	0.588483	0.568946	0.526468	0.440809	0.448926	0.310496	0.502087	0.404289	
101	0.58982	0.569049	0.527779	0.439716	0.449628	0.308554	0.503121	0.403025	
102	0.59126	0.570077	0.529364	0.438623	0.450083	0.305083	0.504155	0.401225	
103	0.591979	0.569974	0.530074	0.437804	0.450992	0.302562	0.504959	0.399751	
104	0.593316	0.57018	0.53133	0.436493	0.452066	0.300248	0.506146	0.398258	
105	0.594447	0.570797	0.532477	0.435182	0.452851	0.29781	0.507122	0.396783	
106	0.596093	0.571414	0.533461	0.434034	0.45376	0.295083	0.508195	0.395233	
107	0.598149	0.572031	0.534335	0.432723	0.455124	0.292562	0.509516	0.39372	
108	0.599794	0.571722	0.535264	0.431685	0.455992	0.289711	0.510549	0.391978	
109	0.600823	0.571722	0.536356	0.429773	0.456612	0.28719	0.511411	0.39014	
110	0.602365	0.571003	0.537503	0.428244	0.457149	0.284215	0.512349	0.388091	
111	0.604319	0.5709	0.538705	0.427042	0.457521	0.282314	0.513307	0.38677	
112	0.605347	0.57018	0.540126	0.425676	0.458182	0.280083	0.514302	0.385123	
113	0.606889	0.57018	0.54018	0.4236	0.45876	0.277521	0.514877	0.383209	
114	0.608123	0.57162	0.540781	0.422016	0.459132	0.275165	0.515489	0.38183	
115	0.609871	0.572031	0.541164	0.419612	0.459711	0.27281	0.516217	0.379973	
116	0.611311	0.572031	0.542092	0.418301	0.459959	0.270331	0.516925	0.378365	
117	0.612751	0.572751	0.542529	0.416389	0.459917	0.267521	0.517327	0.376527	
